,id,lat,lon
0,5000,56.9554841,24.202139339255908
1,5001,56.89979805,24.098350150000005
2,5002,56.9750922,24.1398842
3,5003,56.8597884,24.3083417
4,5004,56.9777452,24.16604241357143
5,5005,56.9566594,24.1237638
6,5006,56.91527335,24.18936465
7,5007,,
8,5008,56.9509444,24.128357771229048
9,5009,56.9761694,24.2544503
10,5010,57.0188111,24.13501185
11,5011,56.9927003,24.2400597
12,5012,56.96794800000001,24.235158631177747
13,5013,56.9228069,24.1703845
14,5014,56.9461963,24.0014164
15,5015,56.9736358,24.233530915029384
16,5016,56.9562996,24.1467585
17,5017,56.9014001,24.09988556451
18,5018,56.8945857,24.2163422
19,5019,56.96342305,24.23512972519864
20,5020,57.02965155,24.035975194523694
21,5021,56.9636785,24.170616738324554
22,5022,56.9521436,24.1276865
23,5023,56.949971000000005,24.144142335231727
24,5024,56.9610304,24.1476406
25,5025,56.91095995,24.110000456931477
26,5026,57.03135185,24.05086468426772
27,5027,56.94692714999999,24.236511356252745
28,5028,56.9134761,24.18677075
29,5029,56.9397226,24.21262436641396
30,5030,56.95770335,24.05052070142095
31,5031,56.96485355,24.015749485110053
32,5032,56.96485355,24.015749485110053
33,5033,56.9685959,24.145257169252524
34,5034,56.90348845,24.20369795
35,5035,56.9655674,24.18300431362537
36,5036,56.9489344,24.0882804
37,5037,56.9506147,24.1212313
38,5038,56.9530706,24.1376419
39,5039,56.9559527,24.1267505
40,5040,56.982792450000005,24.19636687544211
41,5041,56.97808055,24.247249000000004
42,5042,46.3144754,11.0480288
43,5043,56.9552522,24.0999991251943
44,5044,56.9655674,24.18300431362537
45,5045,56.95636735,24.155689863891237
46,5046,56.95632235,24.18597855896561
47,5047,56.93144315,24.175756900229658
48,5048,46.3144754,11.0480288
49,5049,46.3144754,11.0480288
50,5050,57.0196416,24.126994032173137
51,5051,46.3144754,11.0480288
52,5052,56.9927003,24.2400597
53,5053,56.9553833,24.1488881
54,5054,56.94306285,24.09127711461696
55,5055,56.9581924,24.1306619
56,5056,56.9579533,24.1425116
57,5057,57.0378821,24.08967795920556
58,5058,56.93662655,24.04333565329861
59,5059,56.93662655,24.04333565329861
60,5060,56.93685365,24.213177111898094
61,5061,56.94177625,24.2254638
62,5062,,
63,5063,56.9599542,24.1248268
64,5064,56.9517628,24.067348709240814
65,5065,56.9820393,24.246020693013463
66,5066,56.9647239,24.1477109
67,5067,56.9449076,24.17802943789207
68,5068,,
69,5069,,
70,5070,56.90154795,24.09246740734249
71,5071,56.89859735,24.08767079999982
72,5072,56.9151751,24.09305733190283
73,5073,56.93257265,24.2080293
74,5074,,
75,5075,56.9678993,24.10503793415288
76,5076,,
77,5077,56.949362,24.14052317479452
78,5078,56.9764669,24.24432072931075
79,5079,56.9950728,24.1273961
80,5080,46.3144754,11.0480288
81,5081,46.3144754,11.0480288
82,5082,56.9464309,24.14139621313611
83,5083,56.9428655,24.060963208642875
84,5084,57.0408667,24.03274137094086
85,5085,56.95643795,24.132572982155622
86,5086,56.95878525,24.144589118130806
87,5087,56.916944,24.184230045589548
88,5088,56.9508163,24.1271389
89,5089,56.974699,24.1449329
90,5090,56.9456104,24.0623652
91,5091,,
92,5092,56.9571813,24.13946679396369
93,5093,56.96104425,24.099655755347374
94,5094,56.96112105,24.018216795250048
95,5095,46.3144754,11.0480288
96,5096,56.9271624,24.076977177644544
97,5097,56.9584558,24.002856101952545
98,5098,56.9541725,24.2443253
99,5099,56.9468471,24.133767
100,5100,56.9518384,24.1999196
101,5101,56.9654887,24.04998795
102,5102,56.99898215,24.12328767499813
103,5103,56.952975,24.0166971
104,5104,56.8990307,24.0785989
105,5105,56.96998705,24.12421088272788
106,5106,56.9471865,24.1411337
107,5107,56.997867150000005,24.277341526994302
108,5108,57.0272671,24.0389108
109,5109,56.91116745,24.11631975
110,5110,56.9275041,24.167067392822737
111,5111,56.91925545,24.173829491186872
112,5112,56.96043465,24.170486020781528
113,5113,56.959030600000006,24.013887042853
114,5114,56.9562173,24.05205275
115,5115,56.9422955,24.19988595647548
116,5116,56.9491644,24.1939752
117,5117,56.9505884,24.1734239
118,5118,56.9403842,24.194600573345287
119,5119,56.90154795,24.09246740734249
120,5120,56.91205765,24.206367299999997
121,5121,56.93144315,24.175756900229658
122,5122,56.9484028,24.00206886443955
123,5123,56.95752295,24.11061548424572
124,5124,,
125,5125,56.9085595,24.09788138920388
126,5126,56.956763,24.0954531
127,5127,57.0300401,24.11104944453653
128,5128,56.9624743,24.149289204300047
129,5129,56.9094064,24.0954157
130,5130,56.94404435,24.21522315
131,5131,56.8597884,24.3083417
132,5132,57.0374654,24.0247952
133,5133,56.96383885,24.12586466791548
134,5134,57.0004355,24.1207347
135,5135,56.95698695,24.0186127580713
136,5136,56.95697915,24.169464661675494
137,5137,56.9521436,24.1276865
138,5138,46.3144754,11.0480288
139,5139,46.3144754,11.0480288
140,5140,46.3144754,11.0480288
141,5141,46.3144754,11.0480288
142,5142,46.3144754,11.0480288
143,5143,56.95343085,24.173465900000004
